array_1,array_2,R_pearson,pvalue_pearson,R_spearman,pvalue_spearman
global_analysis_euclidean,fitness,-0.053551362773484136,0.6977908196872239,-0.06356421356421357,0.6447670979336255
positional_analysis_euclidean,fitness,-0.3733935433828473,0.004986660054387763,-0.3961038961038962,0.0027570236961691483
global_analysis_cosine,fitness,-0.006434687015578623,0.9628118855650967,-0.060245310245310255,0.6621649094974348
positional_analysis_cosine,fitness,-0.04907353637796939,0.7219946099180613,-0.08802308802308803,0.5227936956202406
