array_1,array_2,R_pearson,pvalue_pearson,R_spearman,pvalue_spearman
global_analysis_euclidean,fitness,-0.37316816714486173,4.5187569595189235e-23,-0.415893744179448,8.776536090936448e-29
positional_analysis_euclidean,fitness,-0.29881056405949785,5.6280355288081486e-15,-0.3473970675723062,5.152347917581206e-20
global_analysis_cosine,fitness,-0.34654588065698716,6.430791459899522e-20,-0.415937820759581,8.649511149107206e-29
positional_analysis_cosine,fitness,-0.282401366386428,1.783526802454475e-13,-0.34739267287217396,5.1582564347237555e-20
