array_1,array_2,R_pearson,pvalue_pearson,R_spearman,pvalue_spearman
global_analysis_euclidean,fitness,-0.5881461876505442,1.873805279606968e-06,-0.5863294600136706,2.0518075753805986e-06
positional_analysis_euclidean,fitness,-0.42919397577660845,0.0009644787396326589,-0.4402597402597403,0.0006850080251592145
global_analysis_cosine,fitness,-0.5808114219246565,2.693964395137519e-06,-0.5761449077238552,3.3784862615641967e-06
positional_analysis_cosine,fitness,-0.42518864915220145,0.0010885692316243622,-0.4462064251537936,0.0005672139823232672
