array_1,array_2,R_pearson,pvalue_pearson,R_spearman,pvalue_spearman
global_analysis_euclidean,fitness,-0.21380437826979734,0.11702571540549805,-0.2185425685425686,0.10894095123387079
positional_analysis_euclidean,fitness,-0.3733935433828473,0.004986660054387763,-0.3961038961038962,0.0027570236961691483
global_analysis_cosine,fitness,-0.006434687015578623,0.9628118855650967,-0.060245310245310255,0.6621649094974348
positional_analysis_cosine,fitness,-0.04907353637796939,0.7219946099180613,-0.08802308802308803,0.5227936956202406
