array_1,array_2,R_pearson,pvalue_pearson,R_spearman,pvalue_spearman
global_analysis_euclidean,fitness,-0.08545824900811036,0.030253818883972154,-0.12127863188087167,0.002065069675384217
positional_analysis_euclidean,fitness,-0.07647460283819223,0.052590724065530635,-0.16361834047166166,3.059431400183749e-05
global_analysis_cosine,fitness,0.036633568459946364,0.3536994119515876,-0.006851685522255625,0.8623329267771572
positional_analysis_cosine,fitness,-0.03213266683936581,0.4159732987601881,-0.04390796004219841,0.26623985204545386
